Symbol,Security Name,Exchange,ETF
BBAI.W,"BigBear.ai, Inc. Redeemable Warrants, each exercisable for one share of Common Stock at an exercise price of $11.50 per share",NYSE,N
BBBY,"Bed Bath & Beyond, Inc. Common Stock",NYSE,N
BBBY.W,"Bed Bath & Beyond, Inc. Warrants to Purchase Common Stock",NYSE,N
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",NASDAQ,N
BBDC,"Barings BDC, Inc. Common Stock",NYSE,N
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",NASDAQ,N
BBIO,"BridgeBio Pharma, Inc. - Common Stock",NASDAQ,N
BBLG,Bone Biologics Corp - Common Stock,NASDAQ,N
BBNX,"Beta Bionics, Inc. - Common Stock",NASDAQ,N
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",NASDAQ,N
BBSI,"Barrett Business Services, Inc. - Common Stock",NASDAQ,N
BBT,Beacon Financial Corporation Common stock,NYSE,N
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,NYSE,N
BBW,"Build-A-Bear Workshop, Inc. Common Stock",NYSE,N
BBY,"Best Buy Co., Inc. Common Stock",NYSE,N
BC,Brunswick Corporation Common Stock,NYSE,N
BCAB,"BioAtla, Inc. - Common Stock",NASDAQ,N
BCAL,California BanCorp - Common Stock,NASDAQ,N
BCAX,Bicara Therapeutics Inc. - Common Stock,NASDAQ,N
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",NASDAQ,N
BCC,"Boise Cascade, L.L.C. Common Stock",NYSE,N
BCDA,"BioCardia, Inc. - Common Stock",NASDAQ,N
BCE,"BCE, Inc. Common Stock",NYSE,N
BCG,"Binah Capital Group, Inc. - Common Stock",NASDAQ,N
BCML,BayCom Corp - Common Stock,NASDAQ,N
BCO,Brinks Company (The) Common Stock,NYSE,N
